OBJECTID,landcoversEastClassifications,thumbUrl,DownloadThumbPicture,EastOriginalUrl,DownloadOriginalPicture
106,"30% MUC 91 [Urban, Residential Property]; 70% MUC 93 [Urban, Roads and Parking]; 90% MUC 02 (b) [Trees, Closely Spaced, Deciduous - Broad Leaved]; 20% MUC 43 [Herbaceous/Grassland, Short Grass]",https://data.globe.gov/system/photos/2020/06/22/1706880/thumb.jpg,golc_thumb_2020_06_22_1706880,https://data.globe.gov/system/photos/2020/06/22/1706880/original.jpg,golc_2020_06_22_1706880
107,"20% MUC 1 [Trees, Loosely Spaced, Not Sure Which]; 90% MUC 93 [Urban, Roads and Parking]; 10% MUC 91 [Urban, Residential Property]",https://data.globe.gov/system/photos/2020/06/22/1706892/thumb.jpg,golc_thumb_2020_06_22_1706892,https://data.globe.gov/system/photos/2020/06/22/1706892/original.jpg,golc_2020_06_22_1706892
108,"10% MUC 12 (b) [Trees, Loosely Spaced, Deciduous - Broad Leaved]; 20% MUC 91 [Urban, Residential Property]; 80% MUC 93 [Urban, Roads and Parking]",https://data.globe.gov/system/photos/2020/06/22/1706899/thumb.jpg,golc_thumb_2020_06_22_1706899,https://data.globe.gov/system/photos/2020/06/22/1706899/original.jpg,golc_2020_06_22_1706899
109,"40% MUC 1 [Trees, Loosely Spaced, Not Sure Which]; 30% MUC 93 [Urban, Roads and Parking]; 70% MUC 94 [Urban, Other]",https://data.globe.gov/system/photos/2020/06/22/1706971/thumb.jpg,golc_thumb_2020_06_22_1706971,https://data.globe.gov/system/photos/2020/06/22/1706971/original.jpg,golc_2020_06_22_1706971
110,null,null,null,null,null
111,null,null,null,null,null
112,null,https://data.globe.gov/system/photos/2020/06/22/1706932/thumb.jpg,golc_thumb_2020_06_22_1706932,https://data.globe.gov/system/photos/2020/06/22/1706932/original.jpg,golc_2020_06_22_1706932
113,null,https://data.globe.gov/system/photos/2020/06/22/1706936/thumb.jpg,golc_thumb_2020_06_22_1706936,https://data.globe.gov/system/photos/2020/06/22/1706936/original.jpg,golc_2020_06_22_1706936
114,null,https://data.globe.gov/system/photos/2020/06/22/1706947/thumb.jpg,golc_thumb_2020_06_22_1706947,https://data.globe.gov/system/photos/2020/06/22/1706947/original.jpg,golc_2020_06_22_1706947
115,"90% MUC 02 (b) [Trees, Closely Spaced, Deciduous - Broad Leaved]; 20% MUC 44 [Herbaceous/Grassland, Ferns or Flowers]; 70% MUC 56 [Barren, Dirt/Other]; 20% MUC 43 [Herbaceous/Grassland, Short Grass]; 20% MUC 21 (c) [Shrubs, Closely Spaced, Tall Evergreen]; 20% MUC 22 (c) [Shrubs, Closely Spaced, Tall Deciduous]; 10% MUC 31 (c) [Shrubs, Closely Spaced, Short Evergreen]; 10% MUC 32 (c) [Shrubs, Closely Spaced, Short Deciduous]",https://data.globe.gov/system/photos/2020/06/22/1706953/thumb.jpg,golc_thumb_2020_06_22_1706953,https://data.globe.gov/system/photos/2020/06/22/1706953/original.jpg,golc_2020_06_22_1706953
